,Order ID,Amount,Profit,Quantity,Category,Sub-Category,PaymentMode
0,B-25681,1096,658,7,Electronics,Electronic Games,COD
1,B-26055,5729,64,14,Furniture,Chairs,EMI
2,B-25955,2927,146,8,Furniture,Bookcases,EMI
3,B-26093,2847,712,8,Electronics,Printers,Credit Card
4,B-25602,2617,1151,4,Electronics,Phones,Credit Card
5,B-25881,2244,247,4,Clothing,Trousers,Credit Card
6,B-25696,275,-275,4,Clothing,Saree,COD
7,B-25687,387,-213,5,Clothing,Saree,UPI
8,B-25643,50,-44,2,Clothing,Hankerchief,UPI
9,B-25851,135,-54,5,Clothing,Kurti,COD
10,B-25703,231,-190,9,Clothing,Hankerchief,COD
11,B-25887,2125,-234,6,Electronics,Printers,EMI
12,B-25923,3873,-891,6,Electronics,Phones,Credit Card
13,B-25756,729,-492,5,Furniture,Bookcases,UPI
14,B-25761,2188,1050,5,Furniture,Bookcases,Credit Card
15,B-25655,6,-3,1,Clothing,Hankerchief,UPI
16,B-25786,1854,433,5,Furniture,Bookcases,Credit Card
17,B-26095,6,1,1,Clothing,Kurti,UPI
18,B-25853,2093,721,5,Furniture,Chairs,Credit Card
19,B-25735,7,-1,2,Clothing,Skirt,UPI
20,B-25910,1622,-624,5,Furniture,Tables,Credit Card
21,B-25950,1622,95,5,Electronics,Printers,Credit Card
22,B-25744,373,254,6,Electronics,Printers,UPI
23,B-25845,82,-33,4,Clothing,Kurti,COD
24,B-26001,8,2,2,Clothing,Skirt,UPI
25,B-25830,1954,782,3,Electronics,Phones,Credit Card
26,B-25842,1543,370,8,Electronics,Printers,Credit Card
27,B-25778,1506,-266,6,Electronics,Printers,Credit Card
28,B-25686,1829,-56,6,Furniture,Tables,Credit Card
29,B-25754,9,-1,3,Clothing,Skirt,UPI
30,B-26048,1461,202,5,Furniture,Tables,EMI
31,B-25816,391,113,8,Clothing,Stole,COD
32,B-26022,1824,1303,8,Electronics,Phones,Credit Card
33,B-25883,16,-15,4,Clothing,Hankerchief,UPI
34,B-26003,1745,122,2,Furniture,Tables,Credit Card
35,B-26097,663,-212,5,Electronics,Printers,UPI
36,B-25710,10,-1,1,Clothing,Leggings,UPI
37,B-25797,1630,802,5,Furniture,Tables,EMI
38,B-25618,12,0,2,Clothing,Hankerchief,UPI
39,B-25723,12,-7,2,Clothing,Leggings,UPI
40,B-25755,1709,564,3,Clothing,Trousers,Credit Card
41,B-25788,12,3,1,Clothing,Stole,UPI
42,B-25681,1625,-77,3,Electronics,Phones,EMI
43,B-25991,13,5,2,Clothing,Hankerchief,UPI
44,B-25779,1361,980,3,Furniture,Tables,COD
45,B-25909,1622,-448,3,Electronics,Phones,EMI
46,B-25943,1547,340,6,Electronics,Accessories,EMI
47,B-25935,1657,460,4,Furniture,Chairs,Credit Card
48,B-25613,1603,0,9,Clothing,Saree,Credit Card
49,B-25729,1549,-439,4,Electronics,Phones,Credit Card
50,B-25772,1183,106,4,Electronics,Printers,EMI
51,B-25655,74,-123,8,Clothing,Skirt,UPI
52,B-25640,1499,239,13,Clothing,Saree,Credit Card
53,B-25810,1120,199,6,Clothing,Saree,EMI
54,B-25801,15,-2,1,Clothing,T-shirt,Debit Card
55,B-26085,1487,624,3,Clothing,Trousers,Credit Card
56,B-25868,1118,206,2,Furniture,Tables,Credit Card
57,B-25714,11,-5,2,Clothing,Hankerchief,COD
58,B-25784,15,4,1,Clothing,Hankerchief,Debit Card
59,B-25608,1364,1864,5,Furniture,Tables,Credit Card
60,B-26051,1337,147,7,Electronics,Printers,Credit Card
61,B-25900,15,2,1,Clothing,Leggings,Debit Card
62,B-25760,322,-193,5,Electronics,Printers,UPI
63,B-25762,1316,527,7,Electronics,Electronic Games,Credit Card
64,B-25995,1314,342,3,Furniture,Bookcases,Credit Card
65,B-25965,17,7,3,Clothing,Hankerchief,Debit Card
66,B-25967,17,2,2,Clothing,Skirt,Debit Card
67,B-25674,17,-12,5,Clothing,Skirt,Debit Card
68,B-25929,1308,536,3,Furniture,Bookcases,Credit Card
69,B-25777,1076,-38,4,Electronics,Printers,Credit Card
70,B-26006,1301,573,5,Electronics,Accessories,Credit Card
71,B-25697,1300,-16,8,Electronics,Printers,Credit Card
72,B-25667,11,-2,4,Clothing,Hankerchief,COD
73,B-25836,1298,65,9,Electronics,Printers,EMI
74,B-25984,304,97,6,Clothing,Stole,UPI
75,B-25728,1055,264,4,Electronics,Printers,EMI
76,B-25757,17,-13,4,Clothing,Skirt,Debit Card
77,B-25957,147,73,3,Clothing,Stole,COD
78,B-26061,965,-68,3,Electronics,Printers,COD
79,B-25735,12,-2,3,Clothing,Hankerchief,COD
80,B-25616,14,-2,3,Clothing,Hankerchief,UPI
81,B-25666,934,-916,7,Electronics,Electronic Games,COD
82,B-25675,929,-93,9,Clothing,Saree,COD
83,B-26079,18,3,2,Clothing,Hankerchief,Debit Card
84,B-25850,916,192,11,Electronics,Phones,COD
85,B-25693,76,-72,9,Clothing,Hankerchief,COD
86,B-25852,869,67,4,Furniture,Tables,COD
87,B-25860,112,24,3,Clothing,Kurti,COD
88,B-25853,39,16,6,Clothing,Skirt,UPI
89,B-25898,857,-274,2,Furniture,Tables,COD
90,B-26100,828,230,2,Furniture,Chairs,COD
91,B-25653,1279,-640,8,Electronics,Printers,EMI
92,B-25839,1250,486,7,Clothing,Saree,EMI
93,B-25651,823,-18,7,Furniture,Chairs,COD
94,B-25957,1157,-13,9,Furniture,Bookcases,Credit Card
95,B-25704,126,-63,3,Electronics,Accessories,UPI
96,B-25730,1145,-706,3,Electronics,Phones,Credit Card
97,B-26052,774,170,3,Electronics,Accessories,COD
98,B-25656,24,-1,2,Clothing,Hankerchief,COD
99,B-26033,774,170,3,Electronics,Accessories,COD
100,B-25850,93,-1,2,Clothing,Hankerchief,COD
101,B-25945,765,-36,3,Electronics,Electronic Games,COD
102,B-26086,762,101,6,Electronics,Printers,COD
103,B-25752,761,266,9,Electronics,Electronic Games,COD
104,B-26098,96,-48,5,Clothing,Leggings,UPI
105,B-26067,1137,-14,7,Electronics,Printers,EMI
106,B-25730,18,8,2,Clothing,Hankerchief,Debit Card
107,B-25986,749,-307,7,Furniture,Furnishings,COD
108,B-26067,1120,199,6,Clothing,Saree,EMI
109,B-25953,744,119,6,Electronics,Printers,COD
110,B-25952,14,0,4,Clothing,Hankerchief,UPI
111,B-25903,19,8,2,Clothing,Hankerchief,Debit Card
112,B-25650,512,-225,5,Clothing,Saree,COD
113,B-25970,742,198,2,Furniture,Bookcases,COD
114,B-26062,44,-40,3,Clothing,Stole,COD
115,B-25643,1061,-36,8,Furniture,Bookcases,EMI
116,B-25632,19,-2,2,Clothing,Leggings,Debit Card
117,B-25821,17,0,1,Clothing,Hankerchief,COD
118,B-25878,741,267,5,Furniture,Bookcases,COD
119,B-25752,735,-235,6,Electronics,Printers,COD
120,B-25750,19,-1,1,Clothing,Shirt,Debit Card
121,B-25657,1021,-48,4,Electronics,Electronic Games,EMI
122,B-25787,556,-209,7,Clothing,Saree,COD
123,B-25808,63,-17,6,Clothing,Leggings,COD
124,B-25885,734,248,2,Furniture,Chairs,COD
125,B-25778,933,166,5,Clothing,Saree,Credit Card
126,B-25759,20,-9,6,Clothing,Hankerchief,Debit Card
127,B-25747,877,395,2,Furniture,Bookcases,Credit Card
128,B-25878,719,303,6,Furniture,Chairs,COD
129,B-25603,12,1,2,Clothing,Hankerchief,COD
130,B-25691,714,56,4,Clothing,Saree,COD
131,B-25607,50,-15,4,Clothing,Leggings,COD
